clip_id,frame_id,left_detected,right_detected,left_conf,right_conf,lat_offset_m
0,0,1,1,0.89,0.89,-0.317
0,1,1,1,0.88,0.89,-0.311
0,2,1,1,0.89,0.89,-0.31
0,3,1,1,0.87,0.89,-0.299
0,4,1,1,0.88,0.89,-0.307
0,5,1,1,0.88,0.88,-0.305
0,6,1,1,0.87,0.89,-0.301
0,7,1,1,0.88,0.89,-0.299
0,8,1,1,0.88,0.89,-0.297
0,9,1,1,0.88,0.88,-0.289
0,10,1,1,0.86,0.88,-0.294
0,11,1,1,0.89,0.89,-0.311
0,12,1,1,0.88,0.89,-0.282
0,13,1,1,0.88,0.9,-0.309
0,14,1,1,0.88,0.89,-0.305
0,15,1,1,0.88,0.89,-0.315
0,16,1,1,0.88,0.89,-0.306
0,17,1,1,0.88,0.89,-0.305
0,18,1,1,0.89,0.89,-0.304
0,19,1,1,0.89,0.89,-0.316
1,0,1,1,0.88,0.89,-0.08
1,1,1,1,0.89,0.88,-0.077
1,2,1,1,0.88,0.89,-0.083
1,3,1,1,0.88,0.89,-0.086
1,4,1,1,0.89,0.87,-0.083
1,5,1,1,0.88,0.87,-0.082
1,6,1,1,0.89,0.87,-0.087
1,7,1,1,0.88,0.89,-0.086
1,8,1,1,0.88,0.87,-0.093
1,9,1,1,0.89,0.88,-0.093
1,10,1,1,0.89,0.88,-0.098
1,11,1,1,0.89,0.86,-0.081
1,12,1,1,0.89,0.88,-0.1
1,13,1,1,0.89,0.88,-0.087
1,14,1,1,0.89,0.87,-0.086
1,15,1,1,0.88,0.89,-0.082
1,16,1,1,0.88,0.89,-0.078
1,17,1,1,0.89,0.88,-0.088
1,18,1,1,0.89,0.87,-0.084
1,19,1,1,0.88,0.89,-0.09
2,0,1,1,0.89,0.88,0.043
2,1,1,1,0.89,0.88,0.081
2,2,1,1,0.89,0.88,0.086
2,3,1,1,0.89,0.88,0.09
2,4,1,1,0.89,0.88,0.091
2,5,1,1,0.89,0.88,0.091
2,6,1,1,0.89,0.88,0.098
2,7,1,1,0.89,0.88,0.102
2,8,1,1,0.89,0.89,0.104
2,9,1,1,0.88,0.88,0.106
2,10,1,1,0.89,0.88,0.11
2,11,1,1,0.89,0.88,0.05
2,12,1,1,0.89,0.88,0.113
2,13,1,1,0.89,0.88,0.052
2,14,1,1,0.89,0.88,0.059
2,15,1,1,0.89,0.88,0.069
2,16,1,1,0.89,0.88,0.074
2,17,1,1,0.89,0.88,0.081
2,18,1,1,0.89,0.88,0.08
2,19,1,1,0.89,0.88,0.084
3,0,1,1,0.88,0.87,-0.076
3,1,1,1,0.87,0.88,-0.084
3,2,1,1,0.87,0.86,-0.079
3,3,1,1,0.88,0.88,-0.074
3,4,1,1,0.88,0.86,-0.075
3,5,1,1,0.88,0.86,-0.076
3,6,1,1,0.88,0.86,-0.068
3,7,1,1,0.88,0.87,-0.074
3,8,1,1,0.88,0.87,-0.071
3,9,1,1,0.88,0.86,-0.067
3,10,1,1,0.87,0.87,-0.062
3,11,1,1,0.87,0.87,-0.075
3,12,1,1,0.87,0.86,-0.067
3,13,1,1,0.87,0.88,-0.081
3,14,1,1,0.87,0.86,-0.077
3,15,1,1,0.88,0.87,-0.079
3,16,1,1,0.87,0.87,-0.078
3,17,1,1,0.88,0.88,-0.078
3,18,1,1,0.88,0.88,-0.078
3,19,1,1,0.87,0.88,-0.085
4,0,1,1,0.88,0.89,-0.369
4,1,1,1,0.87,0.89,-0.362
4,2,1,1,0.87,0.83,0.608
4,3,1,1,0.87,0.88,-0.364
4,4,1,1,0.86,0.89,-0.365
4,5,1,1,0.87,0.89,-0.364
4,6,1,1,0.86,0.81,0.018
4,7,1,1,0.86,0.89,-0.36
4,8,1,1,0.86,0.78,0.518
4,9,1,1,0.86,0.88,-0.362
4,10,1,1,0.85,0.89,-0.35
4,11,1,1,0.87,0.89,-0.363
4,12,1,1,0.85,0.88,-0.357
4,13,1,1,0.88,0.89,-0.367
4,14,1,1,0.87,0.89,-0.367
4,15,1,1,0.87,0.89,-0.369
4,16,1,1,0.86,0.89,-0.37
4,17,1,1,0.88,0.89,-0.376
4,18,1,1,0.87,0.89,-0.376
4,19,1,1,0.86,0.89,-0.364
5,0,1,1,0.88,0.86,-0.09
5,1,1,1,0.89,0.88,-0.063
5,2,1,1,0.88,0.88,-0.05
5,3,1,1,0.88,0.87,-0.054
5,4,1,1,0.88,0.88,-0.045
5,5,1,1,0.88,0.88,-0.041
5,6,1,1,0.88,0.88,-0.035
5,7,1,1,0.89,0.89,-0.037
5,8,1,1,0.88,0.88,-0.053
5,9,1,1,0.89,0.89,-0.054
5,10,1,1,0.89,0.89,-0.054
5,11,1,1,0.88,0.86,-0.077
5,12,1,1,0.89,0.89,-0.063
5,13,1,1,0.88,0.88,-0.063
5,14,1,1,0.88,0.89,-0.064
5,15,1,1,0.89,0.88,-0.066
5,16,1,1,0.88,0.88,-0.054
5,17,1,1,0.88,0.89,-0.057
5,18,1,1,0.89,0.88,-0.048
5,19,1,1,0.89,0.89,-0.052
6,0,1,1,0.89,0.88,0.255
6,1,1,1,0.89,0.87,0.242
6,2,1,1,0.89,0.87,0.232
6,3,1,1,0.89,0.88,0.236
6,4,1,1,0.89,0.88,0.238
6,5,1,1,0.89,0.88,0.231
6,6,1,1,0.89,0.88,0.231
6,7,1,1,0.89,0.88,0.235
6,8,1,1,0.89,0.87,0.233
6,9,1,1,0.89,0.88,0.237
6,10,1,1,0.89,0.88,0.237
6,11,1,1,0.89,0.87,0.252
6,12,1,1,0.89,0.88,0.237
6,13,1,1,0.89,0.76,0.249
6,14,1,1,0.89,0.88,0.25
6,15,1,1,0.89,0.88,0.246
6,16,1,1,0.89,0.78,0.512
6,17,1,1,0.89,0.87,0.25
6,18,1,1,0.89,0.88,0.245
6,19,1,1,0.89,0.88,0.246
7,0,1,1,0.81,0.81,1.198
7,1,0,0,0.0,0.0,0.0
7,2,1,1,0.76,0.79,-6.132
7,3,0,0,0.0,0.0,0.0
7,4,0,0,0.0,0.0,0.0
7,5,0,0,0.0,0.0,0.0
7,6,1,1,0.83,0.8,-31.684
7,7,1,1,0.85,0.82,5.657
7,8,1,1,0.86,0.86,-3.705
7,9,1,1,0.78,0.81,2.383
7,10,0,0,0.0,0.0,0.0
7,11,0,0,0.0,0.0,0.0
7,12,0,0,0.0,0.0,0.0
7,13,0,0,0.0,0.0,0.0
